,open,high,low,close,volume
07/08/2026,272.87,278.31,272.75,274.48,33861436
06/08/2026,272.765,275.48,271.061,272.26,30672901
05/08/2026,281.59,282.79,270.73,272.65,45119804
04/08/2026,276.06,281.07,275.82,277.42,69748055
03/08/2026,278.29,287.2,278,284.02,90830221
31/07/2026,265,273.23,262.01,271.58,129054771
30/07/2026,233.35,239.8236,231.06,235.5,101839774
29/07/2026,229.315,232.82,226.16,226.65,44957524
28/07/2026,232.85,233.11,228.1,230.86,44521597
27/07/2026,235.665,235.89,230.99,231.39,34999495
24/07/2026,234.38,234.95,231.34,232.11,35017357
23/07/2026,236.26,238.3499,232.0516,233.66,47465337
22/07/2026,248.265,248.45,242.45,244.85,34112732
21/07/2026,249.105,249.34,246.42,247.55,27732064
20/07/2026,248.76,252.89,248,249.99,32406481
17/07/2026,244.46,250.24,243.59,247.23,43572361
16/07/2026,255.12,258.0825,248,249.89,45343709
15/07/2026,249.75,256.48,249.75,254.96,45240622
14/07/2026,245.55,248.56,243.8,247.49,30108054
13/07/2026,244.68,249.65,244.18,247.31,34636091
10/07/2026,249.55,251.03,244.41,245.34,31653997
09/07/2026,239.82,247.5,238.25,247.04,38091688
08/07/2026,244.27,244.8,240.52,243.62,29653043
07/07/2026,246.975,248.93,242.7,245.98,40579603
06/07/2026,243.795,246.04,240.88,244.16,40044034
02/07/2026,241.605,246.72,241.08,242.67,48298137
01/07/2026,239.75,244.9,234.9,241.7,53829851
30/06/2026,237.35,241.54,237.171,238.34,66228262
29/06/2026,234.215,249.71,233.8,240.14,77619228
26/06/2026,227.205,233.9,226.125,232.69,248372085
25/06/2026,232.02,232.32,225.55,227.01,77858478
24/06/2026,233.845,242.4199,232.95,234.27,70282581
23/06/2026,232.55,236.87,232,234.11,60492560
22/06/2026,240.08,242,232.24,232.79,68388526
18/06/2026,240.12,245.73,236.02,244.39,75624415
17/06/2026,244.9,245.91,236,237.5,44780767
16/06/2026,248,249.51,245.4511,246,35187406
15/06/2026,245.02,247.805,244.73,246.02,41711576
12/06/2026,243.21,243.36,233.59,238.55,51251141
11/06/2026,237.93,242.14,235.18,241.51,41335399
10/06/2026,243.605,244.065,237.45,238,38590237
09/06/2026,247.73,250.43,240.4,244.19,44425363
08/06/2026,246.68,249.42,243.36,245.22,33899525
05/06/2026,254.255,256.38,245.78,246.03,55607844
04/06/2026,253.12,255.83,251.75,253.79,35609769
03/06/2026,254.7,257.09,247.71,250.02,51394191
02/06/2026,257.16,261.2025,254.37,256.52,41810982
01/06/2026,266.285,266.63,260.7,261.26,53604380
29/05/2026,271.29,274.75,269.64,270.64,54749561
28/05/2026,272.27,274.5,267.44,274,40630385
27/05/2026,266.15,272.41,265.7001,271.85,40061864
26/05/2026,267.94,269.3,262.07,265.29,38028118
22/05/2026,268.655,269.785,266.235,266.32,27535526
21/05/2026,263.5,269.4899,261.37,268.46,36591743
20/05/2026,260.05,265.58,259.533,265.01,34493098
19/05/2026,262.04,262.25,255.19,259.34,40340697
18/05/2026,263.865,268.85,262.53,264.86,33690787
15/05/2026,262.5,264.355,260.8901,264.14,40770344
14/05/2026,269.15,270.7799,266.63,267.22,31338435
13/05/2026,264.43,270.72,263.2,270.13,39670915
12/05/2026,266.71,267.65,262.63,265.82,36776221
11/05/2026,269.835,273.63,268.48,268.99,38176696
08/05/2026,271.63,274,269.95,272.68,34732681
07/05/2026,275.02,276.63,270.49,271.17,35892879
06/05/2026,272.89,277.8,272.2076,274.99,44551955
05/05/2026,276.075,278.56,272.38,273.55,41908529
04/05/2026,268.795,276.1,268.795,272.05,49083734
01/05/2026,265.58,273.315,262.74,268.26,50825231
30/04/2026,273.17,273.88,256.16,265.06,100974867
29/04/2026,257.99,265.91,257.7,263.04,72367910
28/04/2026,258.39,261.03,256.63,259.7,42204447
27/04/2026,263.46,264.15,260.34,261.12,44906840
24/04/2026,259.98,264.5,257.685,263.99,53777353
23/04/2026,255.39,258.79,253.07,255.08,39091394
22/04/2026,252.44,255.94,250.33,255.36,36065067
21/04/2026,255.09,255.09,249.1,249.91,42922398
20/04/2026,249.19,250.18,245.365,248.28,39463106
17/04/2026,254.985,256.18,250.11,250.56,52029291
16/04/2026,248.51,250,244.2,249.7,41895711
15/04/2026,249.25,250.44,247.2,248.5,43045160
14/04/2026,241.78,252.18,241.78,249.02,72685026
13/04/2026,237.45,240,235.75,239.89,42166150
10/04/2026,235.295,240.43,235.21,238.38,56912842
09/04/2026,225.232,233.8,223.27,233.65,65964171
08/04/2026,223.79,226.1,219.62,221.25,51092698
07/04/2026,211.24,213.97,209.075,213.77,28154557
06/04/2026,209.795,212.95,209.59,212.79,25385495
02/04/2026,206.54,212.2125,204.9,209.77,31453039
01/04/2026,210.435,213.58,208.19,210.57,45955395
31/03/2026,204.845,210.28,204.14,208.27,58470078
30/03/2026,201.48,203.8,199.9802,200.95,46373797
27/03/2026,206.455,206.6,199.14,199.34,56009763
26/03/2026,210.61,212.885,207.12,207.54,46745978
25/03/2026,211.56,213.07,209.9,211.71,36388791
24/03/2026,207.95,209.35,206.64,207.24,35351425
23/03/2026,209.79,212.8,209.51,210.14,44277356
20/03/2026,207.4,207.54,204.316,205.37,63694603
19/03/2026,207.06,209.12,206.05,208.76,36440622
18/03/2026,213.925,215.1401,208.825,209.87,37846642
17/03/2026,212.82,215.7,212.43,215.2,44969943
