,open,high,low,close,volume
07/08/2026,356.72,358.9,353.78,354.3,19859905
06/08/2026,360.77,364.1259,356.88,357.75,25235895
05/08/2026,383.34,384.48,356.77,362.43,46926339
04/08/2026,368.22,380.52,367.5,377.65,35705703
03/08/2026,365.445,376.6932,363.35,373.51,38669652
31/07/2026,340.83,358.58,340,356.13,46498023
30/07/2026,334.195,336.51,330.34,333.66,30168000
29/07/2026,334.665,342.5,331.62,336.71,27501632
28/07/2026,327.9,335.88,324.44,333.71,29511940
27/07/2026,325.04,330.42,324.45,326.56,28471593
24/07/2026,318.42,324.18,317.32,319.74,31806553
23/07/2026,321.13,324.49,314.9,317.69,69419700
22/07/2026,348.155,349.94,341.73,342.09,39334140
21/07/2026,351.32,351.32,347,347.15,23369833
20/07/2026,350.88,359.68,350.52,351.99,24736644
17/07/2026,346,348.52,341.36,346.77,29959283
16/07/2026,373.06,375.27,352.3001,354.46,41158466
15/07/2026,357.97,373.65,357.76,370.92,28284564
14/07/2026,351.195,360.16,351.09,359.51,18259355
13/07/2026,356.19,358.13,351.75,352.51,15901732
10/07/2026,357.525,357.82,352.75,357.18,18146146
09/07/2026,354.31,359.65,351.08,358.89,24729093
08/07/2026,364.76,367.84,358.02,361.92,22094769
07/07/2026,369.07,373.16,365.5,367.03,24045581
06/07/2026,361.55,367.93,357.3805,366.46,26915808
02/07/2026,359.48,364.205,353.42,359.91,25999346
01/07/2026,358.37,362.97,356.43,361.21,26736445
30/06/2026,353.865,358.62,350.4,357.37,35237231
29/06/2026,341.825,354.35,340.67,353.65,34213932
26/06/2026,342.55,346.36,330.2,337.39,114706326
25/06/2026,336.73,345.57,335.84,343.71,44564576
24/06/2026,349.035,353.476,341.93,345.29,44997277
23/06/2026,340.69,349.29,340.2,346.13,34007652
22/06/2026,357.945,358.92,341.7219,349.68,52814764
18/06/2026,365.75,369.48,358.67,368.03,44470070
17/06/2026,369.125,372.33,362.02,363.79,24543644
16/06/2026,369.6,376,367.06,373.25,24876095
15/06/2026,367.93,372.99,366.55,369.35,27727493
12/06/2026,362.62,366.57,354.94,359.68,24731019
11/06/2026,355.925,358.8,346.36,357.77,35538165
10/06/2026,363.19,368.555,355.2,356.38,32357132
09/06/2026,367.09,372.08,357.3,364.26,29535072
08/06/2026,365.18,366.2,360.5309,363.31,27942464
05/06/2026,366.34,372.08,364.1207,368.53,37471206
04/06/2026,358.9,373.2499,358.21,372.19,44055520
03/06/2026,362.03,366.45,358.08,358.99,55441583
02/06/2026,366.59,373.54,358.44,361.85,50412300
01/06/2026,376.52,378.56,373.52,376.37,28672120
29/05/2026,385.24,385.24,378.46,380.34,44415846
28/05/2026,388,391.87,385.16,390.13,24357455
27/05/2026,386.665,393.88,385.9,388.83,23087287
26/05/2026,384.51,389.2599,382.6,388.88,27747388
22/05/2026,387.345,388.74,381.7716,382.97,20442123
21/05/2026,385.7,392.5,383.02,387.66,24852843
20/05/2026,387.7,393.8599,382.9,388.91,30504055
19/05/2026,396.96,397.15,386.11,387.66,39545672
18/05/2026,395.685,408.61,394.53,396.94,26837196
15/05/2026,396.315,399.5399,393.18,396.78,20309702
14/05/2026,397.28,402.93,395.84,401.07,21136716
13/05/2026,385.595,403.7,385,402.62,28144555
12/05/2026,387.34,388.52,382.77,387.35,26017488
11/05/2026,393.645,397.44,388.47,388.64,30753738
08/05/2026,397,402,396.36,400.8,21461849
07/05/2026,399.92,400.1,392.68,397.99,24433490
06/05/2026,394.245,399.8499,392.76,398.04,31308476
05/05/2026,386.23,392.8199,384.02,388.43,23878626
04/05/2026,385.63,387.38,379.79,383.25,26298574
01/05/2026,381.63,386.76,379.05,385.69,30105226
30/04/2026,374.07,385.84,365.82,384.8,72039993
29/04/2026,347.565,355.79,344.21,349.94,35376328
28/04/2026,348.55,352.42,346.12,349.78,27824052
27/04/2026,345.98,353.18,342.73,350.34,28576887
24/04/2026,338.725,345.27,335.39,344.4,26426061
23/04/2026,341.18,341.96,336.18,338.89,18650256
22/04/2026,337.02,339.82,335.17,339.32,20293014
21/04/2026,337.685,339.34,331.35,332.29,23123795
20/04/2026,340.755,341.4,336.61,337.42,18784226
17/04/2026,337.65,342.32,336.24,341.68,25581881
16/04/2026,338.75,339.88,334.52,336.02,20541487
15/04/2026,332.89,337.48,330.9,337.12,24918842
14/04/2026,324.785,333.29,323.75,332.91,27721351
13/04/2026,317.135,321.63,315.47,321.31,18866424
10/04/2026,320.015,321.83,316.32,317.24,19152630
09/04/2026,315.905,319.54,311.06,318.49,23739173
08/04/2026,320.445,322.08,315.02,317.32,33547140
07/04/2026,302.725,305.63,297.72,305.46,23205361
06/04/2026,295.87,300.62,295.18,299.99,16945494
02/04/2026,290.69,298.08,289.45,295.77,21666465
01/04/2026,290.835,300.52,290.41,297.39,37684462
31/03/2026,278.04,288.08,277.09,287.56,43875400
30/03/2026,276.42,277.09,272.11,273.5,35141244
27/03/2026,277.275,279.37,273.95,274.34,35890612
26/03/2026,287.91,287.95,278.5,280.92,39080578
25/03/2026,293.44,296,289.24,290.93,29460669
24/03/2026,299.2,299.92,290.33,290.44,36864278
23/03/2026,302.11,305.98,300.93,302.06,29326946
20/03/2026,305.46,306,298.27,301,44364079
19/03/2026,304.005,308.06,302.35,307.13,25075831
18/03/2026,309.27,312.47,306.932,307.69,20009815
17/03/2026,305.86,311.42,305.5,310.92,21955171
