,open,high,low,close,volume
07/08/2026,499.21,505.18,498.73,499.99,28846235
06/08/2026,488.55,501.555,488.52,499.86,36441544
05/08/2026,496.355,498.24,485.68,487.46,33388871
04/08/2026,480.9,499.4399,479.17,492.81,50455454
03/08/2026,476.125,491.65,475,487.65,66762074
31/07/2026,450,466.84,449.33,464.72,60845971
30/07/2026,437.9,458.69,432.44,451.1,110160704
29/07/2026,393.4,401.25,388.74,390.54,47209032
28/07/2026,393.16,400.32,391.3,393.35,32367546
27/07/2026,390.08,394.2,387.99,389.1,27856160
24/07/2026,387.05,389.03,380.65,381.7,27659388
23/07/2026,389.965,391.78,377.39,381.58,30351752
22/07/2026,399.58,401,386.96,390.34,28142511
21/07/2026,398.805,401.47,396.32,397.75,24126632
20/07/2026,391.41,403.18,389.65,402.29,27915762
17/07/2026,394.855,398.39,389.39,393.82,33049842
16/07/2026,398.31,405.99,392.0501,401.1,37047443
15/07/2026,387.8,398.96,386.4,395.63,36253745
14/07/2026,382.82,388.19,378.65,384.93,27863916
13/07/2026,387.745,393.65,384.15,390.99,28914877
10/07/2026,387.8,391.91,381.5,385.1,24644605
09/07/2026,374.45,384.65,373.35,384.36,31083197
08/07/2026,384.03,385.31,381.33,383.34,25908255
07/07/2026,392.49,395.57,388.22,388.84,29297524
06/07/2026,387.04,389.15,381.22,386.74,34224543
02/07/2026,384.48,392.2,383.7,390.49,42194409
01/07/2026,380.825,388.83,374.89,384.28,48065801
30/06/2026,371.03,374.15,367.45,373.02,44945696
29/06/2026,377.5,380.5,359.9,368.57,51229885
26/06/2026,357.15,376.61,355.43,372.97,186201631
25/06/2026,362.77,364.23,349.2,352.83,66360473
24/06/2026,371.57,378.88,364.78,365.46,44509854
23/06/2026,372.38,377.22,370.67,373.94,40647605
22/06/2026,375.74,381.63,367.07,367.34,45171106
18/06/2026,377.82,381.37,373.28,379.4,59714157
17/06/2026,390.25,390.37,377.32,378.91,41987834
16/06/2026,395.79,396.84,390.69,393.83,31506846
15/06/2026,396.795,401.75,392.845,399.76,32266437
12/06/2026,391.43,391.74,382.27,390.74,34922036
11/06/2026,395.205,396.85,384,390.34,47224135
10/06/2026,398.55,405.04,397.16,397.36,32576041
09/06/2026,409.03,411.98,398.48,403.41,35317302
08/06/2026,414.14,417.1599,408.56,411.74,32086714
05/06/2026,428.34,429.47,414.4,416.67,34782164
04/06/2026,435.81,436.15,426.41,428.05,26899511
03/06/2026,438.45,440.39,424.25,427.34,39037007
02/06/2026,446.88,453.5,440.43,441.31,37036801
01/06/2026,464.84,466.32,458.27,460.52,53628910
29/05/2026,432.545,450.33,432.36,450.24,79654376
28/05/2026,412.975,429.49,412.67,426.99,47250541
27/05/2026,411.01,415.94,409.58,412.67,28901479
26/05/2026,416.43,419.77,413.02,416.03,30398049
22/05/2026,419.535,424.4,416.33,418.57,22390344
21/05/2026,424.75,426.34,415.71,419.09,31393469
20/05/2026,414.165,422.1,411.3001,421.06,27655979
19/05/2026,429.9,432.7,416.49,417.42,33018678
18/05/2026,416.62,425.12,415.61,423.54,32564130
15/05/2026,414.27,428.17,412.91,421.92,50771160
14/05/2026,404.48,411.84,400.88,409.43,27077542
13/05/2026,403.2,406.31,401.03,405.21,29667073
12/05/2026,414.48,415.5,406.64,407.77,38594221
11/05/2026,407.87,412.69,405.5,412.66,35657943
08/05/2026,417.385,418.63,414,415.12,33383790
07/05/2026,420.11,427.98,418.76,420.77,34942445
06/05/2026,408,418.4228,405.11,413.96,30285898
05/05/2026,415.32,416.7799,408.8,411.38,25700891
04/05/2026,411.54,420.78,410.8,413.62,28066528
01/05/2026,412.8,417.11,410.435,414.44,31372361
30/04/2026,410.81,414.42,398.01,407.78,70909408
29/04/2026,424.575,426.82,420.29,424.46,38288316
28/04/2026,424.57,429.92,421.9,429.25,30438087
27/04/2026,422.375,427.11,417.0701,424.82,30867303
24/04/2026,416.97,424.95,415.8,424.62,27457404
23/04/2026,419.885,423.66,411.4101,415.75,38307959
22/04/2026,426.185,433.7,423.67,432.92,29378173
21/04/2026,420.24,427.18,417.2,424.16,32048495
20/04/2026,421.145,423.33,416.3,418.07,27582237
17/04/2026,424.82,431.58,420.69,422.79,48568190
16/04/2026,419.86,420.82,412.14,420.26,41642361
15/04/2026,398,414.3699,396.73,411.22,45063389
14/04/2026,387.915,394.69,386.52,393.11,37504486
13/04/2026,373.605,384.54,371.02,384.37,35745781
10/04/2026,372.98,375.64,370.03,370.87,28111128
09/04/2026,372.5,373.5,367.05,373.07,30435297
08/04/2026,384.98,385,371.41,374.33,33064818
07/04/2026,370.34,372.45,366.56,372.29,21443349
06/04/2026,373.49,373.73,369.5014,372.88,16146572
02/04/2026,367.205,373.64,364.15,373.46,24099067
01/04/2026,373.49,373.99,368.2,369.37,29417206
31/03/2026,364.55,372.9,363.07,370.17,45244365
30/03/2026,361.895,365.36,356.28,358.96,44797002
27/03/2026,361.9,362.45,356.51,356.77,37883400
26/03/2026,370.815,374.7199,365.19,365.97,36836574
25/03/2026,376.92,377.06,369.63,371.04,31181163
24/03/2026,382.36,382.47,371.85,372.74,42733625
23/03/2026,383.9,387.21,381.68,383,29680059
20/03/2026,386.79,387,380.12,381.87,50853154
19/03/2026,390.1,392.49,387.06,389.02,25138772
18/03/2026,397.125,398,391,391.79,25908484
17/03/2026,400.27,404.4,397.745,399.41,26228279
