,open,high,low,close,volume
07/08/2026,221.54,224.76,220.66,223.96,105669440
06/08/2026,221.53,223.63,217,218.99,113940644
05/08/2026,216.86,222.22,216.4,219.22,158187403
04/08/2026,211.3,213.06,209.05,211.94,134921997
03/08/2026,197.69,208.74,196.85,206.64,128406883
31/07/2026,198.4405,202,194.95,200.75,139961152
30/07/2026,193.45,197.25,191.52,195.04,129010151
29/07/2026,195.845,197.074,190.01,190.01,147680809
28/07/2026,195,198.7,192.74,197.01,134111494
27/07/2026,208.2,208.75,195.44,196.51,154353698
24/07/2026,207.45,211.9099,204.81,206.84,114836805
23/07/2026,209.455,210.8687,205.96,208.76,110505328
22/07/2026,205.805,214.39,204.95,212.06,137645596
21/07/2026,207.54,208.65,204.01,207.29,108685563
20/07/2026,205.87,207.74,202.28,203.28,88701540
17/07/2026,202.64,206.645,197.97,202.81,144281910
16/07/2026,210.17,211.08,205.845,207.4,122986074
15/07/2026,211.96,213.81,206.04,212.5,124797151
14/07/2026,208.2,212.55,203.8,211.8,124379646
13/07/2026,208.54,210.57,203,203.53,121411018
10/07/2026,202,211,201.92,210.96,148421001
09/07/2026,204.46,204.585,198.96,202.78,132037359
08/07/2026,195.18,205.16,195.06,204.12,147419133
07/07/2026,192.37,198.41,191.14,196.93,124154574
06/07/2026,194.42,197.55,193.99,195.55,108999015
02/07/2026,197.14,200.055,192.35,194.83,142385548
01/07/2026,196.2,199.85,193.45,197.58,146147597
30/06/2026,197.24,200.63,195.11,200.09,166476665
29/06/2026,193.85,196.18,189.8,194.97,148835724
26/06/2026,193.12,195.55,191.22,192.53,179304147
25/06/2026,200.08,200.8,192.13,195.74,150205647
24/06/2026,200.12,201.67,196.58,199,151810704
23/06/2026,202.17,203.77,200,200.04,153496196
22/06/2026,211.44,213.99,207.72,208.65,122041419
18/06/2026,207.33,211.39,206.5,210.69,241272013
17/06/2026,208.53,209.21,203.08,204.65,128363473
16/06/2026,211.18,211.49,207.29,207.41,125694100
15/06/2026,208.92,212.7107,208.34,212.45,149936688
12/06/2026,204.86,207.07,203.4385,205.19,112345314
11/06/2026,201.49,205.66,199.54,204.87,158643204
10/06/2026,204.43,207.22,199.92,200.42,161746587
09/06/2026,210.615,211.4,199.34,208.19,180962450
08/06/2026,210.18,210.47,206,208.64,138372837
05/06/2026,214.53,214.87,204.33,205.1,219655531
04/06/2026,213.905,221.6,210.97,218.66,169022152
03/06/2026,221.72,222.82,214.51,214.75,160907001
02/06/2026,227.18,232.28,221.35,222.82,193362903
01/06/2026,215.73,224.87,215.7,224.36,212850685
29/05/2026,214.575,217.8599,211.13,211.14,289410623
28/05/2026,211.275,215.5191,211.22,214.25,143996048
27/05/2026,214.12,214.15,208.78,212.6,167601172
26/05/2026,216.54,218.18,212,214.86,187202576
22/05/2026,220.904,221.01,214.8,215.33,169275710
21/05/2026,222.29,227.3999,217.93,219.51,203381760
20/05/2026,223.18,226.13,220.495,223.47,162279171
19/05/2026,219.62,224.48,217.91,220.61,140948207
18/05/2026,229.87,230,218.37,222.32,146280896
15/05/2026,229.76,231.5,224.24,225.32,180977639
14/05/2026,229.85,236.54,229.3,235.74,180782857
13/05/2026,224.93,227.84,221.5653,225.83,150405386
12/05/2026,218.545,223.75,214.92,220.78,159176619
11/05/2026,214.035,222.3,213.89,219.44,160685774
08/05/2026,213.03,217.8,212.89,215.2,136421361
07/05/2026,208.34,214.2,206.5,211.5,168307873
06/05/2026,199.89,208.265,198.61,207.83,188362812
05/05/2026,199.3,200.24,196.03,196.5,113406620
04/05/2026,199.5,201.73,194.74,198.48,125368092
01/05/2026,201.28,203,197.12,198.45,128646996
30/04/2026,209.93,210.3,198.7,199.57,225239156
29/04/2026,212.7,212.72,207.5758,209.25,123711821
28/04/2026,209.49,214.73,208.2,213.17,180275363
27/04/2026,209.645,216.825,207.38,216.61,187172421
24/04/2026,199.96,210.95,199.81,208.27,214134441
23/04/2026,202.46,203.829,197.2206,199.64,113561830
22/04/2026,200.99,202.5,199,202.5,107501042
21/04/2026,202.13,202.75,199,199.88,107945302
20/04/2026,199.98,202.17,197.8397,202.06,119381388
17/04/2026,199.9,201.7,199.27,201.68,160324416
16/04/2026,197.43,199.85,195.81,198.35,134012859
15/04/2026,196.54,200.4,195.74,198.87,185338388
14/04/2026,190.84,196.51,190.77,196.51,161307010
13/04/2026,186.03,189.66,185.74,189.31,133648180
10/04/2026,184.31,190,184.3,188.63,160459524
09/04/2026,181.84,184.08,180.62,183.91,116428523
08/04/2026,184.5,185.26,180.3,182.08,147732686
07/04/2026,175.725,178.23,173.66,178.1,132534902
06/04/2026,177.155,177.79,175.76,177.64,107564279
02/04/2026,172.18,177.49,171.37,177.39,143143157
01/04/2026,176,177.37,174.75,175.75,168132005
31/03/2026,166.97,174.62,166.96,174.4,226181301
30/03/2026,168.78,169.45,164.27,165.17,185626992
27/03/2026,170,170.97,167.01,167.52,196212684
26/03/2026,176.07,176.51,171.14,171.24,186152232
25/03/2026,177.1,181.22,176.85,178.68,162602054
24/03/2026,174.83,176.22,173.98,175.2,147667844
23/03/2026,177.255,178.37,174.76,175.64,182836294
20/03/2026,178,178.26,171.72,172.7,241323528
19/03/2026,178.01,179.98,175.785,178.56,170968527
18/03/2026,182.48,183.38,180.33,180.4,156683136
17/03/2026,185.06,185.4,181.6804,181.93,182497757
